Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Min,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Min,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Fwd PSH Flags,Bwd Packets/s,Min Packet Length,FIN Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Init_Win_bytes_forward,Init_Win_bytes_backward,min_seg_size_forward,Active Mean,Active Std,Idle Std,Label_cleaned
9664180,4,24,6,0,0,2.483397453,0.413899576,3221393.333,475,475,0,0.0,0,0.0,6,0,0,1,0,0,256,-1,20,1466.0,0.0,0.0,1
126748,31,1169,0,4344,0,787152.46,654.84268,1545.707317,1,19,100776,1976.0,0,410.2628838,0,0,1,0,0,1,29200,61,32,0.0,0.0,0.0,0
1174742,4,24,6,0,0,20.43001783,3.405002971,391580.6667,233,233,0,0.0,0,0.0,6,0,0,1,0,0,256,-1,20,0.0,0.0,0.0,1
96309,4,148,37,94,94,5440.820692,83.06596476,13758.42857,1,1,65196,21732.0,0,41.53298238,37,0,0,0,0,1,-1,-1,20,0.0,0.0,0.0,0
2154956,5,30,6,0,0,13.92139793,2.320232989,538739.0,268,268,0,0.0,0,0.0,6,0,0,1,0,0,256,-1,20,0.0,0.0,0.0,1
3011082,5,30,6,0,0,9.963195954,1.660532659,752770.5,170,170,0,0.0,0,0.0,6,0,0,1,0,0,256,-1,20,0.0,0.0,0.0,1
76685,4,148,37,53,53,3312.251418,78.24215948,15337.0,3,49,3,3.0,0,26.08071983,37,0,0,0,0,0,-1,-1,20,0.0,0.0,0.0,0
898094,3,26,0,5840,0,12952.9871,10.02122272,112261.75,3,49,898007,179601.4,0,6.680815149,0,0,1,0,0,2,8192,229,20,0.0,0.0,0.0,1
48,2,12,6,0,0,250000.0,41666.66667,48.0,48,48,0,0.0,0,0.0,6,0,0,1,0,0,4737,-1,20,0.0,0.0,0.0,0
2019967,5,30,6,0,0,14.85172778,2.475287963,504991.75,1,1,0,0.0,0,0.0,6,0,0,1,0,0,256,-1,20,0.0,0.0,0.0,1
251170,3,18,6,0,0,71.66460963,11.9441016,125585.0,4,4,0,0.0,0,0.0,6,0,0,1,1,0,351,-1,20,0.0,0.0,0.0,0
930512,3,26,0,4380,0,12501.71948,9.672094503,116314.0,3,96,930463,186092.6,0,6.448063002,0,0,1,0,0,2,8192,229,20,0.0,0.0,0.0,1
6996959,4,24,6,0,0,3.430061545,0.571676924,2332319.667,331,331,0,0.0,0,0.0,6,0,0,1,0,0,256,-1,20,856.0,0.0,0.0,1
153357,1,42,42,213,213,1662.786831,13.04146534,153357.0,153357,0,0,0.0,0,6.52073267,42,0,0,0,0,1,-1,-1,20,0.0,0.0,0.0,0
186407,48,1337,0,2896,0,574967.6783,574.0127785,1758.556604,1,2,163169,2813.258621,0,316.511719,0,0,1,0,0,1,29200,61,20,0.0,0.0,0.0,0
143701,47,1313,0,4344,0,755749.786,758.5194258,1330.564815,0,1,120430,1974.262295,0,431.4514165,0,0,1,0,0,1,29200,61,20,0.0,0.0,0.0,0
5939232,6,611,0,152,0,130.4882517,1.683719377,659914.6667,49,49,379723,126574.3333,0,0.673487751,0,0,1,0,0,0,8192,946,20,403707.0,0.0,0.0,0
142089,45,1313,0,4344,0,743942.1771,703.7842479,1435.242424,1,1,119063,2204.87037,0,387.0813363,0,0,1,0,0,1,29200,61,20,0.0,0.0,0.0,0
324074,3,26,0,4380,0,35896.12249,27.77143492,40509.25,3,3,323994,64798.8,0,18.51428995,0,0,1,0,0,2,8192,229,20,0.0,0.0,0.0,1
